ID,Title,Year,Year_Range,PrincipalName,PrincipalAffiliationName,Institution_Type,Institution_Sub,CenterName,FundTypeDesc,ProgramName,GoalText,Goal_3_v_4,AwardAmt,AwardPer,AwardNum,Status_Now,
929,Evaluating the Long-Term Effects and the Costs of Two Community College Interventions,2010,2007-2011,"Weiss, Michael",MDRC,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$1,584,722",3 years,R305A100066,Completed,
1143,Performance-Based Scholarship Demonstration — An Alternative Financial Aid Program to Incentivize Academic Success,2011,2007-2011,"Richburg-Hayes, Lashawn",MDRC,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$1,558,732",3 years,R305A110204,Completed,
1441,Using Computer-Assisted Instruction to Accelerate Students through Developmental Math: An Impact Study of Modularization and Compression,2013,2012-2016,"Weiss, Michael",MDRC,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$3,289,513",4 years (7/1/13-6/30/17),R305A130125,Completed,
1520,Evaluating the Impact of CUNY Start through a Researcher (MDRC) – Local Education Agency (City University of New York) Partnership,2014,2012-2016,"Weiss, Michael",MDRC,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,796,087",5 years (7/1/2014-6/30/2019),R305H140065,Completed,
1851,Assessing the Long-Term Efficacy and Costs of the City University of New York's (CUNY'S) Accelerated Study in Associate Programs (ASAP),2016,2012-2016,"Weiss, Michael",MDRC,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$1,061,273",3 years (7/1/2016-6/3/2019),R305A160273,In field,
2028,"P-TECH 9–14 Schools: An Impact, Implementation and Cost Study",2017,2017-2019,"Byndloss, Crystal",MDRC,Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$2,801,182",5 years (07/01/2017- 06/30/2022),R305A170250,In field,
631,An Efficacy Trial of Robust Vocabulary Instruction,2008,2007-2011,"Apthorp, Helen",Mid-continent Research for Education and Learning (McREL),Firm,Large,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$2,284,149",3 years,R305A080627,Completed,
1264,Efficacy Study of a Pre-Algebra Supplemental Program in Rural Mississippi Schools,2012,2012-2016,"Clark, Tedra",Mid-continent Research for Education and Learning (McREL),Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$1,878,435",4 years (3/1/2012-2/29/2016),R305A120045,Completed,
822,Evaluation of the New Jersey Preschool Expansion (NJPE) Program,2009,2007-2011,"Ross, Christine",MPR,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$5,847,135",5 years,R305E090010,Not completed,NJ's PreK expansion program was cancelled
735,A Randomized Trial of Reducing Stereotype Threat Among Minority and Economically Disadvantaged Students,2009,2007-2011,"Dee, Thomas",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$512,787",3 years,R305A090162,Completed,
752,Simplification and Incentives: A Randomized Experiment for Increasing College Savings,2009,2007-2011,"Long, Bridget Terry",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$1,510,238",4 years,R305A090204,Completed,
1153,Gifted Education Program Participation and Program Impacts,2011,2007-2011,"Card, David",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$791,666",3 years,R305E110019,Completed,
1279,"Why are Some Charter Schools More Effective than Others? Econometric Methods and Empirical Evidence from Massachusetts, Michigan, and Texas",2012,2012-2016,"Angrist, Joshua",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$1,654,320",3 years (3/1/12-2/28/15),R305A120269,Completed,
1265,Improving Information and Access to Financial Aid: Expanding the FAFSA Experiment,2012,2012-2016,"Bettinger, Eric",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Postsecondary and Adult Education,Scale-Up Evaluations,4,"$4,899,247",5 years (03/01/2012- 02/28/201,R305A120280,Not completed,Project was unable to complete as planned due to ED and NCTC not completing planned implementation of intervention components
1853,Could Connecting Students with Financial Aid Lead to Better College Outcomes? A Proposal to Test the Effectiveness of FAFSA Interventions Using the NPSAS Sample,2016,2012-2016,"Long, Bridget Terry",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$2,350,643",5 years (7/1/2016-6/30/2021),R305A160388,In field,
3245,Test-Based Acceleration in Middle School Math: Impacts on College Entry and STEM Major Choice for High-achieving Students and Under-represented Groups,2019,2017-2019,"Card, David",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy,3,"$601,499",3 years (07/01/2019 – 06/30/2022),R305A190175,In field,
1572,Evaluating the Efficacy of Read Well Kindergarten,2005,2002-2006,"Gunn, Barbara",Oregon Research Institute,Firm,Center/Institute,NCER,Grant,Field Initiated Evaluations of Education Innovations,Efficacy and Replication,3,"$1,403,531",4 years (6/1/2005-5/31/2009),R305F050080,Completed,
766,Efficacy Trial of Carescapes: Promoting Social Development in Home-based Child Care,2009,2007-2011,"Rusby, Julie",Oregon Research Institute,Firm,Center/Institute,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$2,727,926",3/1/2009 - 2/28/2013,R324A090044,Completed,
774,Ecological Approach to Family Intervention and Treatment (Eco-FIT) Integrated with PBS: An Effectiveness Trial in Middle School,2009,2007-2011,"Seeley, John",Oregon Research Institute,Firm,Center/Institute,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Scale-Up Evaluations,4,"$6,598,994",3/1/2009 - 5/28/2014,R324A090111,Completed,
1155,Efficacy of Supplemental Early Vocabulary Connections Instruction for English Language Learners,2011,2007-2011,"Vadasy, Patricia",Oregon Research Institute,Firm,Center/Institute,NCER,Grant,English Learners,Efficacy and Replication,3,"$1,838,975",3 years,R305A130700,Completed,
1602,Preschool First Step to Success: An Efficacy Replication Study,2015,2012-2016,"Feil, Edward",Oregon Research Institute,Firm,Center/Institute,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$3,499,924",4 years (7/1/2015-6/30/2019),R324A150221,Completed,
1664,An Investigation of Direct Instruction Spoken English for At-Risk English Learners,2015,2012-2016,"Gunn, Barbara",Oregon Research Institute,Firm,Center/Institute,NCER,Grant,English Learners,Efficacy and Replication,3,"$3,447,327",4 years (7/1/2015–6/30/2019),R305A150325,Completed,
3285,"Evaluation of <em>We Have Choices</em>, an Upper-Elementary Self-Management Program",2019,2017-2019,"Smolkowski, Keith",Oregon Research Institute,Firm,Center/Institute,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy,3,"$3,298,625",5 years (07/01/2019 - 06/30/2024),R305A190478,In field,
616,A Randomized Efficacy Trial of the Kids in Transition to School (KITS) Program for Children with Developmental Disabilities and Behavioral Problems,2008,2007-2011,"Pears, Katherine",Oregon Social Learning Center,Firm,Center/Institute,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$2,957,477",4/1/2008 to 3/31/2012,R324A080026,Completed,
1304,A Randomized Efficacy Trial of the Kids in Transition to School (KITS) Program to Improve the School Readiness of Children in Disadvantaged Communities,2012,2012-2016,"Pears, Katherine",Oregon Social Learning Center,Firm,Center/Institute,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,198,210",4 Years (9/1/12-8/31/16),R305A120391,Completed,
1608,Long-Term Effects of the Kids in Transition to School (KITS) Program for Children with Developmental Disabilities and Behavioral Problems,2015,2012-2016,"Pears, Katherine",Oregon Social Learning Center,Firm,Center/Institute,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$1,299,872",3 Years (7/1/2015-6/30/2018),R324A150149,Completed,
3337,Efficacy of the <em>Students with Involved Families and Teachers</em> (<em>SWIFT</em>) Program for Students with Emotional and Behavioral Disorders,2019,2017-2019,"Buchanan, Rohanna",Oregon Social Learning Center,Firm,Center/Institute,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy,3,"$3,298,313",4 years (07/01/2019—06/30/2024),R324A190122,In field,
1178,Relative Effectiveness of Contrasting Approaches to Response-Contingent Learning Interventions,2011,2007-2011,"Raab, Melinda",Orelena Hawks Puckett Institute,Firm,Center/Institute,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$1,947,772",07/01/2011–06/30/2015,R324A110183,Completed,
173,The Read Aloud Curriculum in First Grade Classrooms: Furthering Our Understanding of Immediate and Long-Term Impacts and Causal Influences,2005,2002-2006,"Baker, Scott",Pacific Institutes for Research,Firm,Center/Institute,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$2,885,585",4 years,R305G050216,Completed,
1962,Heterogeneous Effects of English Learner Reclassification on Achievement Trajectories,2017,2017-2019,"Hill, Laura",Public Policy Institute of California,Firm,Center/Institute,NCER,Grant,English Learners,Efficacy and Replication,3,"$699,983",2 years (07/01/2017–06/30/2019),R305A170288,In field,
1575,Experimental Field Study of Cognitive Tutor Geometry Curriculum,2005,2002-2006,"Pane, John F.",RAND Corporation,Firm,Large,NCER,Grant,Field Initiated Evaluations of Education Innovations,Efficacy and Replication,3,"$1,255,961",5 years (6/1/2005-5/31/2010),R305F050122,Completed,
497,Effectiveness of Cognitive Tutor Algebra One Implemented at Scale,2007,2007-2011,"Pane, John F.",RAND Corporation,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Scale-Up Evaluations,4,"$5,999,950",5 years,R305A070185,Completed,
738,Modeling Longitudinal Effects of New York City's 5th Grade Promotion Policy on Student Achievement through a Regression Discontinuity Design,2009,2007-2011,"Mariano, Louis",RAND Corporation,Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$244,251",4 years,R305A090039,Completed,
1294,The Effect of Dual-Language Immersion on Student Achievement in the Portland Public Schools,2012,2012-2016,"Steele, Jennifer",RAND Corporation,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$1,694,560",3 years (7/01/2012-6/30/2015),R305E120003,Completed,
1296,Evaluation of the Long-Term Effects of Retention under New York City's Student Promotion Policy,2012,2012-2016,"Mariano, Louis",RAND Corporation,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$1,690,567",5 years (8/01/2012-7/31/2017),R305E120006,Completed,
1518,Efficacy of ALEKS for Improving Student Algebra Achievement,2014,2012-2016,"Pane, John F.",RAND Corporation,Firm,Large,NCER,Grant,Education Technology,Efficacy and Replication,3,"$1,543,409",3 years (7/1/2014–6/30/2017),R305A140221,Completed,
1855,The Impact of New Mexico's Teacher Evaluation System on Student Academic Outcomes,2016,2012-2016,"Mihaly, Kata",RAND Corporation,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,297,221",5 Years (7/1/2016-6/30/2021),R305A160223,Not completed,project scope and sample size were severely reduced (namely from statewide to handful of districts with varying versions of the intervention) as a result of court injunction instituted before the project started
2132,Efficacy of Viridis Learning Tool: A Technology-Based Approach to Advising and Job Matching,2018,2017-2019,"Karam, Rita",RAND Corporation,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$3,299,866",5 years (09/01/2018 - 08/31/2023),R305A180377,In field,
1088,Efficacy of the Interactive Strategies Approach-Extended as a Small Group Intervention for Intermediate Grade Struggling Readers,2011,2007-2011,"Gelzheiser, Lynn",Research Foundation of SUNY,Firm,Center/Institute,NCSER,Grant,"Reading, Writing, and Language Development",Efficacy and Replication,3,"$3,138,200",7/1/11–6/30/15,R324A110053,Completed,
346,Teacher Quality Study: An Investigation of the Impact of Teacher Study Groups as a Means to Enhance The Quality of Reading Instruction for First Graders in High Poverty Schools in Two States,2003,2002-2006,"Gersten, Russell",RG Research Group DBA Instructional Research Group,Firm,Center/Institute,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,820,670",4 years,R305M030052,Completed,
2181,Testing the Efficacy of Zoo U for Improving Children's Social and Emotional Outcomes,2018,2017-2019,"Willoughby, Michael",RTI International,Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,299,956",5 years (07/01/2018 - 06/30/2023),R305A180050,In field,
719,National Randomized Controlled Trial Study of SRA/McGraw-Hill Open-Court Reading Program,2009,2007-2011,"Vaden-Kiernan, Michael",Southwest Educational Development Corporation,Firm,Large,NCER,Grant,Reading and Writing,Scale-Up Evaluations,4,"$5,302,021",4 years,R305A090150,Completed,
895,National Randomized Control Trial of Everyday Mathematics,2010,2007-2011,"Vaden-Kiernan, Michael",Southwest Educational Development Corporation,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Scale-Up Evaluations,4,"$6,145,582",4 years,R305A100116,Completed,
321,"Comparing the Efficacy of Three Approaches to Improving Teaching Quality in Science Education: Curriculum Implementation, Design, and Adaptation",2005,2002-2006,"Penuel, William R.",SRI International,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$1,864,415",4 years,R305M050226,Completed,
395,"Early, Evidence-Based Intervention For Externalizing Behavior Problems in School: From Efficacy to Effectiveness of the First Step to Success Program",2006,2002-2006,"Wagner, Mary",SRI International,Firm,Large,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Scale-Up Evaluations,4,"$5,857,960",3/1/2006 to 2/28/2011,R324B060003,Completed,
1101,Students Exposed to Trauma: An Efficacy Study of the Cognitive Behavioral Intervention for Trauma in Schools,2011,2007-2011,"Sumi, W. Carl",SRI International,Firm,Large,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy and Replication,3,"$3,383,527",06/1/2011–05/31/2015,R324A110027,Completed,
1163,Efficacy Study of Check and Connect to Improve Student Outcomes,2011,2007-2011,"Sumi, W. Carl",SRI International,Firm,Large,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy and Replication,3,"$3,475,570",09/1/2011–08/31/2015,R324A110166,Completed,
1273,An Efficacy Study of Online Mathematics Homework Support: An Evaluation of the ASSISTments Formative Assessment and Tutoring Platform,2012,2012-2016,"Roschelle, Jeremy",SRI International,Firm,Large,NCER,Grant,Education Technology,Efficacy and Replication,3,"$3,498,460",4 years (4/1/2012-3/31/2016),R305A120125,Completed,
1400,Efficacy of an Integrated Digital Elementary School Mathematics Curriculum,2013,2012-2016,"Roschelle, Jeremy",SRI International,Firm,Large,NCER,Grant,Education Technology,Efficacy and Replication,3,"$3,496,525",4 years (7/1/2013-6/30/2017),R305A130400,Completed,
